,Player,enterYear,retireYear,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,TS%,3PAr,FTr,WS/48,FG%,3P%,2P%,eFG%,FT%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,MP_PG,FG_PG,FGA_PG,3P_PG,3PA_PG,2P_PG,2PA_PG,FT_PG,FTA_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
0,A.C. Green,1986,2001,PF,1361,905,39044,4778,9686,125,509,4653,9177,3247,4447,3576,6553,10129,1469,1103,562,1508,2581,12928,13.9,3.4,2.4,5.8,-0.5,0.4,-0.1,1.3,0.544,0.049,0.437,0.122,0.488,0.147,0.502,0.493,0.708,0.104,0.188,0.147,0.052,0.014,0.009,0.115,0.144,28.7,3.5,7.1,0.1,0.4,3.4,6.7,2.4,3.3,2.6,4.8,7.4,1.1,0.8,0.4,1.1,1.9,9.5
1,A.J. Bramlett,2000,2000,C,8,0,61,4,21,0,0,4,21,0,0,12,10,22,0,1,0,3,13,8,-0.4,-0.2,0.1,-0.2,-10.5,-6.3,-16.8,-0.2,0.19,0.0,0.0,-0.129,0.19,,0.19,0.19,,0.217,0.185,0.201,0.0,0.008,0.0,0.125,0.171,7.6,0.5,2.6,0.0,0.0,0.5,2.6,0.0,0.0,1.5,1.2,2.8,0.0,0.1,0.0,0.4,1.6,1.0
2,A.J. English,1991,1992,SG,151,18,3108,617,1418,9,65,608,1353,259,333,140,175,315,320,57,24,203,287,1502,11.6,-0.2,0.7,0.6,-2.2,-2.8,-5.1,-1.2,0.48,0.047,0.241,0.017,0.436,0.137,0.451,0.439,0.774,0.049,0.062,0.056,0.159,0.009,0.004,0.119,0.237,20.6,4.1,9.4,0.1,0.4,4.0,9.0,1.7,2.2,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9
3,A.J. Guyton,2001,2003,PG,80,14,1246,166,440,73,193,93,247,37,45,22,58,80,147,20,12,62,58,442,4.4,0.1,-0.0,0.1,-6.1,-4.9,-11.0,-0.3,0.324,0.371,0.068,-0.141,0.256,0.255,0.254,0.311,0.824,0.014,0.038,0.025,0.235,0.025,0.005,0.144,0.208,15.6,2.1,5.5,0.9,2.4,1.2,3.1,0.5,0.6,0.3,0.7,1.0,1.8,0.2,0.1,0.8,0.7,5.5
4,A.J. Hammons,2017,2017,C,22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48,8.4,-0.2,0.2,0.0,-7.5,1.9,-5.6,-0.1,0.472,0.238,0.476,-0.001,0.405,0.5,0.375,0.464,0.45,0.054,0.209,0.128,0.038,0.003,0.072,0.164,0.176,7.4,0.8,1.9,0.2,0.5,0.5,1.5,0.4,0.9,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2
5,A.J. Price,2010,2015,PG,287,25,4253,600,1581,233,747,367,834,223,303,74,335,409,613,132,9,243,252,1656,10.4,0.1,0.4,0.6,-1.5,-2.7,-4.1,-0.1,0.435,0.456,0.157,0.021,0.355,0.243,0.445,0.412,0.632,0.02,0.092,0.056,0.227,0.013,0.001,0.11,0.208,14.8,2.1,5.5,0.8,2.6,1.3,2.9,0.8,1.1,0.3,1.2,1.4,2.1,0.5,0.0,0.8,0.9,5.8
6,A.J. Wynder,1991,1991,PG,6,0,39,3,12,0,1,3,11,6,8,1,2,3,8,1,0,4,1,12,7.6,-0.1,0.0,0.0,-5.9,-3.5,-9.4,-0.1,0.387,0.083,0.667,-0.051,0.25,0.0,0.273,0.25,0.75,0.031,0.052,0.042,0.24,0.013,0.0,0.205,0.211,6.5,0.5,2.0,0.0,0.2,0.5,1.8,1.0,1.3,0.2,0.3,0.5,1.3,0.2,0.0,0.7,0.2,2.0
7,A.W. Holt,1971,1971,SF,6,0,14,1,8,0,0,1,8,2,3,0,0,4,0,0,0,0,1,4,-1.8,-0.1,0.0,-0.1,,,,,0.215,,0.375,-0.398,0.125,,0.125,0.125,0.667,,,0.135,0.0,,,,,2.3,0.2,1.3,0.0,0.0,0.2,1.3,0.3,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.7
8,Aaron Brooks,2008,2017,PG,797,226,17088,2829,6893,1025,2805,1804,4088,1156,1371,323,1037,1360,2485,469,113,1272,1544,7839,12.3,0.9,0.7,1.5,-0.1,-2.5,-2.6,0.0,0.512,0.422,0.181,0.052,0.403,0.354,0.437,0.478,0.838,0.022,0.065,0.044,0.238,0.014,0.009,0.155,0.222,21.4,3.5,8.6,1.3,3.5,2.3,5.1,1.5,1.7,0.4,1.3,1.7,3.1,0.6,0.1,1.6,1.9,9.8
9,Aaron Gordon,2015,2017,SF,205,117,4958,760,1652,132,457,628,1195,329,471,316,765,1081,311,144,117,193,408,1981,14.3,1.8,1.5,3.4,-0.8,0.3,-0.6,0.8,0.529,0.262,0.292,0.092,0.458,0.285,0.52,0.495,0.703,0.069,0.177,0.122,0.09,0.014,0.02,0.105,0.176,24.2,3.7,8.1,0.6,2.2,3.1,5.8,1.6,2.3,1.5,3.7,5.3,1.5,0.7,0.6,0.9,2.0,9.7
10,Aaron Gray,2008,2014,C,387,93,4517,509,1007,0,4,509,1003,217,379,518,889,1407,251,113,106,314,796,1235,10.9,0.2,0.5,0.6,-3.1,0.7,-2.4,0.0,0.525,0.004,0.39,0.065,0.509,0.0,0.511,0.509,0.56,0.138,0.235,0.186,0.1,0.011,0.016,0.232,0.157,11.7,1.3,2.6,0.0,0.0,1.3,2.6,0.6,1.0,1.3,2.3,3.6,0.6,0.3,0.3,0.8,2.1,3.2
11,Aaron Harrison,2016,2017,SG,26,0,110,5,23,3,12,2,11,6,14,4,14,18,5,6,0,4,12,19,1.0,-0.2,0.0,-0.0,-7.6,-1.0,-8.6,-0.0,0.236,0.513,0.566,-0.08,0.132,0.15,0.111,0.171,0.459,0.024,0.163,0.092,0.128,0.016,0.0,0.07,0.133,4.2,0.2,0.9,0.1,0.5,0.1,0.4,0.2,0.5,0.2,0.5,0.7,0.2,0.2,0.0,0.2,0.5,0.7
12,Aaron James,1975,1979,SF,356,0,7671,1609,3347,0,0,1609,3347,611,804,549,921,1470,370,158,69,241,972,3829,13.7,1.6,1.1,2.6,-0.9,-2.1,-3.1,-0.3,0.517,,0.245,0.081,0.48,,0.48,0.48,0.761,0.068,0.117,0.093,0.073,0.009,0.004,0.131,0.203,21.5,4.5,9.4,0.0,0.0,4.5,9.4,1.7,2.3,1.5,2.6,4.1,1.0,0.4,0.2,0.7,2.7,10.8
13,Aaron McKie,1995,2007,SF,957,330,22594,2554,5923,441,1275,2113,4648,1087,1389,580,2459,3039,2462,1090,199,1225,1882,6636,11.4,0.8,1.8,2.6,-1.5,1.3,-0.2,0.8,0.493,0.208,0.214,0.087,0.424,0.302,0.448,0.457,0.756,0.03,0.13,0.08,0.166,0.025,0.006,0.168,0.142,23.6,2.7,6.2,0.5,1.3,2.2,4.9,1.1,1.5,0.6,2.6,3.2,2.6,1.1,0.2,1.3,2.0,6.9
14,Aaron Miles,2006,2006,PG,19,0,118,6,18,0,0,6,18,4,4,0,14,14,24,4,1,11,13,16,6.0,-0.2,0.1,0.0,-7.7,-0.5,-8.2,-0.2,0.405,0.0,0.222,-0.015,0.333,,0.333,0.333,1.0,0.0,0.136,0.066,0.295,0.017,0.006,0.358,0.116,6.2,0.3,0.9,0.0,0.0,0.3,0.9,0.2,0.2,0.0,0.7,0.7,1.3,0.2,0.1,0.6,0.7,0.8
15,Aaron Swinson,1995,1995,SF,9,0,51,10,18,0,0,10,18,4,5,3,5,8,3,1,0,5,8,24,11.7,0.0,0.0,0.0,-2.9,-2.9,-5.8,0.0,0.594,0.0,0.278,0.039,0.556,,0.556,0.556,0.8,0.067,0.113,0.09,0.09,0.01,0.0,0.198,0.214,5.7,1.1,2.0,0.0,0.0,1.1,2.0,0.4,0.6,0.3,0.6,0.9,0.3,0.1,0.0,0.6,0.9,2.7
16,Aaron Williams,1994,2008,C,838,88,13669,1777,3577,1,17,1776,3560,1063,1442,1159,2015,3174,525,320,597,742,2030,4618,11.1,0.7,0.8,1.6,-4.6,0.1,-4.5,0.1,0.532,0.006,0.347,0.046,0.487,0.03,0.489,0.487,0.717,0.097,0.183,0.139,0.052,0.012,0.039,0.176,0.177,16.3,2.1,4.3,0.0,0.0,2.1,4.2,1.3,1.7,1.4,2.4,3.8,0.6,0.4,0.7,0.9,2.4,5.5
17,Abdul Jeelani,1980,1981,SF,143,0,2394,475,1005,0,7,475,998,340,424,197,303,500,160,84,71,204,278,1290,17.1,1.5,1.2,2.7,-0.2,-0.9,-1.1,0.3,0.539,0.006,0.43,0.105,0.468,0.0,0.471,0.468,0.801,0.089,0.146,0.117,0.104,0.017,0.017,0.146,0.241,16.7,3.3,7.0,0.0,0.0,3.3,7.0,2.4,3.0,1.4,2.1,3.5,1.1,0.6,0.5,1.4,1.9,9.0
18,Acie Earl,1994,1997,C,240,18,3012,428,1076,0,14,428,1062,312,471,225,388,613,81,78,154,205,412,1168,11.5,-0.4,0.4,0.0,-5.7,-1.3,-7.0,-0.6,0.444,0.012,0.465,0.01,0.385,0.0,0.389,0.385,0.644,0.083,0.165,0.124,0.052,0.018,0.034,0.129,0.237,12.6,1.8,4.5,0.0,0.1,1.8,4.4,1.3,2.0,0.9,1.6,2.6,0.3,0.3,0.6,0.9,1.7,4.9
19,Acie Law,2008,2011,PG,265,9,3345,379,898,38,167,341,731,257,334,48,227,275,419,126,5,205,270,1053,11.1,0.1,0.2,0.3,-3.0,-2.1,-5.2,-0.3,0.508,0.2,0.51,0.042,0.414,0.207,0.463,0.436,0.764,0.016,0.073,0.044,0.181,0.021,0.004,0.165,0.189,12.6,1.4,3.4,0.1,0.6,1.3,2.8,1.0,1.3,0.2,0.9,1.0,1.6,0.5,0.0,0.8,1.0,4.0
20,Adam Harrington,2003,2003,SG,38,0,222,22,74,10,28,12,46,6,8,2,14,16,24,4,2,4,16,60,6.4,-0.0,0.0,0.0,-4.9,-3.2,-8.0,-0.1,0.383,0.368,0.109,-0.013,0.294,0.351,0.269,0.36,0.75,0.008,0.073,0.039,0.163,0.01,0.009,0.05,0.178,5.8,0.6,1.9,0.3,0.7,0.3,1.2,0.2,0.2,0.1,0.4,0.4,0.6,0.1,0.1,0.1,0.4,1.6
21,Adam Keefe,1993,2001,PF,617,98,10334,1120,2230,1,14,1119,2216,866,1213,999,1557,2556,427,307,173,545,1114,3107,12.2,1.5,1.3,2.8,-1.4,0.6,-0.8,0.5,0.544,0.009,0.536,0.104,0.485,0.056,0.488,0.485,0.713,0.114,0.176,0.145,0.063,0.015,0.013,0.173,0.144,16.7,1.8,3.6,0.0,0.0,1.8,3.6,1.4,2.0,1.6,2.5,4.1,0.7,0.5,0.3,0.9,1.8,5.0
22,Adam Morrison,2007,2010,SF,213,33,3989,547,1475,156,471,391,1004,159,223,100,322,422,263,49,16,204,350,1409,5.9,-0.7,0.4,-0.3,-4.2,-2.0,-6.2,-0.7,0.431,0.344,0.129,-0.012,0.361,0.299,0.389,0.413,0.667,0.037,0.111,0.074,0.102,0.005,0.004,0.128,0.183,18.7,2.6,6.9,0.7,2.2,1.8,4.7,0.7,1.0,0.5,1.5,2.0,1.2,0.2,0.1,1.0,1.6,6.6
23,Adonal Foyle,1998,2009,C,743,269,13122,1325,2777,0,2,1325,2775,356,713,1310,2177,3487,345,264,1201,600,1580,3006,12.0,0.2,1.1,1.4,-4.0,2.8,-1.2,0.3,0.506,0.001,0.314,0.084,0.5,0.0,0.5,0.5,0.495,0.109,0.192,0.15,0.037,0.008,0.063,0.167,0.116,17.7,1.8,3.7,0.0,0.0,1.8,3.7,0.5,1.0,1.8,2.9,4.7,0.5,0.4,1.6,0.8,2.1,4.0
24,Adonis Jordan,1994,1999,PG,10,0,97,8,27,3,12,5,15,2,4,3,3,6,22,3,1,8,6,21,12.2,-0.0,0.0,-0.0,-2.8,-3.0,-5.9,-0.0,0.423,0.468,0.5,0.022,0.381,0.15,0.616,0.413,0.5,0.022,0.02,0.021,0.301,0.046,0.004,0.233,0.181,9.7,0.8,2.7,0.3,1.2,0.5,1.5,0.2,0.4,0.3,0.3,0.6,2.2,0.3,0.1,0.8,0.6,2.1
25,Adonis Thomas,2014,2014,SF,12,2,74,12,28,2,10,10,18,2,2,0,6,6,6,0,0,2,12,28,7.7,0.0,0.0,0.0,-3.6,-6.3,-9.8,-0.0,0.519,0.363,0.061,0.01,0.454,0.233,0.574,0.499,1.0,0.0,0.078,0.039,0.135,0.0,0.0,0.077,0.186,6.2,1.0,2.3,0.2,0.8,0.8,1.5,0.2,0.2,0.0,0.5,0.5,0.5,0.0,0.0,0.2,1.0,2.3
26,Adreian Payne,2015,2017,PF,134,46,2099,258,639,14,65,244,574,91,137,125,343,468,96,62,36,132,285,621,7.7,-0.4,0.2,-0.3,-5.3,-1.3,-6.6,-0.4,0.427,0.144,0.247,-0.013,0.382,0.143,0.418,0.395,0.64,0.066,0.193,0.129,0.06,0.02,0.016,0.123,0.187,15.7,1.9,4.8,0.1,0.5,1.8,4.3,0.7,1.0,0.9,2.6,3.5,0.7,0.5,0.3,1.0,2.1,4.6
27,Adrian Branch,1987,1990,SF,130,7,1429,331,727,9,39,322,688,163,219,114,139,253,96,83,17,125,193,834,15.4,0.1,0.4,0.5,-1.8,-1.6,-3.4,-0.1,0.501,0.036,0.343,0.06,0.448,0.357,0.455,0.453,0.752,0.095,0.129,0.111,0.095,0.03,0.008,0.138,0.287,11.0,2.5,5.6,0.1,0.3,2.5,5.3,1.3,1.7,0.9,1.1,1.9,0.7,0.6,0.1,1.0,1.5,6.4
28,Adrian Caldwell,1990,1998,PF,242,1,2172,204,430,0,5,204,425,83,187,238,425,663,45,72,49,154,357,491,6.8,-0.2,0.4,0.2,-6.2,-0.6,-6.7,-0.2,0.456,0.013,0.588,0.019,0.432,0.0,0.437,0.432,0.456,0.097,0.203,0.15,0.023,0.015,0.011,0.215,0.114,9.0,0.8,1.8,0.0,0.0,0.8,1.8,0.3,0.8,1.0,1.8,2.7,0.2,0.3,0.2,0.6,1.5,2.0
29,Adrian Dantley,1977,1991,SF,1107,613,39506,9217,17203,7,42,9210,17161,7833,9599,2589,3803,6392,3254,1105,187,2894,2969,26274,20.4,6.7,1.4,8.1,3.7,-1.4,2.3,2.6,0.6,0.007,0.565,0.177,0.52,0.133,0.521,0.52,0.809,0.072,0.098,0.085,0.125,0.013,0.003,0.124,0.251,35.7,8.3,15.5,0.0,0.0,8.3,15.5,7.1,8.7,2.3,3.4,5.8,2.9,1.0,0.2,2.6,2.7,23.7
30,Adrian Griffin,2000,2008,SF,512,181,8304,815,1870,50,180,765,1690,304,401,535,1036,1571,680,453,61,352,906,1984,10.3,0.5,1.0,1.5,-2.5,2.0,-0.6,0.6,0.444,0.077,0.193,0.067,0.405,0.237,0.412,0.417,0.68,0.076,0.143,0.11,0.122,0.028,0.006,0.164,0.129,16.2,1.6,3.7,0.1,0.4,1.5,3.3,0.6,0.8,1.0,2.0,3.1,1.3,0.9,0.1,0.7,1.8,3.9
31,Adrian Smith,1962,1971,SG,796,0,19411,3240,7610,0,0,3240,7610,2460,2932,0,0,1662,1829,0,0,0,1862,8940,12.0,2.0,0.7,2.7,,,,,0.498,,0.405,0.074,0.416,,0.416,0.416,0.843,,,0.043,0.135,,,,,24.4,4.1,9.6,0.0,0.0,4.1,9.6,3.1,3.7,0.0,0.0,2.1,2.3,0.0,0.0,0.0,2.3,11.2
32,Al Attles,1961,1971,PG,711,0,17826,2499,5545,0,0,2499,5545,1330,2106,0,0,2463,2483,0,0,0,2417,6328,11.1,1.4,1.9,3.3,,,,,0.485,,0.422,0.091,0.442,,0.442,0.442,0.628,,,0.055,0.215,,,,,25.1,3.5,7.8,0.0,0.0,3.5,7.8,1.9,3.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.4,8.9
33,Al Bianchi,1957,1966,PG,687,0,13649,2212,5919,0,0,2212,5919,1126,1592,0,0,1722,1497,0,0,0,2069,5550,9.4,-0.4,1.2,0.8,,,,,0.418,,0.269,0.025,0.372,,0.372,0.372,0.708,,,,0.152,,,,,19.9,3.2,8.6,0.0,0.0,3.2,8.6,1.6,2.3,0.0,0.0,2.5,2.2,0.0,0.0,0.0,3.0,8.1
34,Al Butler,1962,1965,PG,293,0,7071,1279,2873,0,0,1279,2873,551,753,0,0,1033,735,0,0,0,649,3109,12.6,1.2,0.7,1.8,,,,,0.468,,0.246,0.069,0.427,,0.427,0.427,0.748,,,,0.094,,,,,24.1,4.4,9.8,0.0,0.0,4.4,9.8,1.9,2.6,0.0,0.0,3.5,2.5,0.0,0.0,0.0,2.2,10.6
35,Al Carlson,1976,1976,C,28,0,279,27,79,0,0,27,79,18,29,30,43,73,13,7,11,0,39,72,9.0,-0.2,0.3,0.1,-5.0,-0.3,-5.3,-0.2,0.392,,0.367,0.012,0.342,,0.342,0.342,0.621,0.108,0.163,0.135,0.058,0.011,0.021,,,10.0,1.0,2.8,0.0,0.0,1.0,2.8,0.6,1.0,1.1,1.5,2.6,0.5,0.2,0.4,0.0,1.4,2.6
36,Al Cervi,1950,1953,PG,202,0,1151,405,1128,0,0,405,1128,781,931,0,0,261,648,0,0,0,669,1591,20.1,4.0,1.5,5.5,,,,,0.539,,0.946,0.318,0.376,,0.376,0.376,0.835,,,,,,,,,5.7,2.0,5.6,0.0,0.0,2.0,5.6,3.9,4.6,0.0,0.0,1.3,3.2,0.0,0.0,0.0,3.3,7.9
37,Al Eberhard,1975,1978,SF,220,0,4138,566,1308,0,0,566,1308,358,449,270,490,760,175,158,35,23,544,1490,10.6,0.6,0.7,1.3,-2.3,-1.0,-3.3,-0.1,0.481,,0.332,0.053,0.425,,0.425,0.425,0.777,0.068,0.121,0.094,0.061,0.017,0.004,0.11,0.139,18.8,2.6,5.9,0.0,0.0,2.6,5.9,1.6,2.0,1.2,2.2,3.5,0.8,0.7,0.2,0.1,2.5,6.8
38,Al Ferrari,1956,1963,G-F,371,0,7582,878,2389,0,0,878,2389,769,1012,0,0,830,943,0,0,0,1008,2525,9.0,0.6,0.9,1.5,,,,,0.442,,0.43,0.049,0.359,,0.359,0.359,0.775,,,,,,,,,20.4,2.4,6.4,0.0,0.0,2.4,6.4,2.1,2.7,0.0,0.0,2.2,2.5,0.0,0.0,0.0,2.7,6.8
39,Al Fleming,1978,1978,SF,20,0,97,15,31,0,0,15,31,10,17,13,17,30,7,0,5,16,16,40,10.7,-0.1,0.1,0.0,-4.2,-0.3,-4.5,-0.1,0.52,,0.548,0.018,0.484,,0.484,0.484,0.588,0.131,0.186,0.157,0.101,0.0,0.028,0.294,0.214,4.8,0.8,1.6,0.0,0.0,0.8,1.6,0.5,0.8,0.7,0.8,1.5,0.3,0.0,0.2,0.8,0.8,2.0
40,Al Guokas,1950,1950,F-G,114,0,0,186,598,0,0,186,598,56,100,0,0,0,190,0,0,0,286,428,,-0.6,-0.1,-0.7,,,,,0.32,,0.149,,0.293,,0.293,0.293,0.697,,,,,,,,,0.0,1.6,5.2,0.0,0.0,1.6,5.2,0.5,0.9,0.0,0.0,0.0,1.7,0.0,0.0,0.0,2.5,3.8
41,Al Hairston,1969,1970,SG,42,0,294,41,122,0,0,41,122,9,15,0,0,41,44,0,0,0,38,91,10.6,-0.3,0.0,-0.2,,,,,0.382,,0.124,-0.048,0.354,,0.354,0.354,0.785,,,,0.282,,,,,7.0,1.0,2.9,0.0,0.0,1.0,2.9,0.2,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,2.2
42,Al Harrington,1999,2014,PF,1132,579,33118,6055,13613,1275,3541,4780,10072,2606,3567,1745,4688,6433,1900,1011,292,2168,3565,15991,13.2,1.1,1.5,2.5,-0.7,-1.2,-1.9,0.3,0.507,0.266,0.248,0.057,0.428,0.314,0.459,0.475,0.714,0.064,0.16,0.111,0.095,0.016,0.006,0.127,0.23,29.3,5.3,12.0,1.1,3.1,4.2,8.9,2.3,3.2,1.5,4.1,5.7,1.7,0.9,0.3,1.9,3.1,14.1
43,Al Henry,1971,1972,C,49,0,447,69,162,0,0,69,162,56,80,0,0,148,8,0,0,0,43,194,12.0,0.2,0.2,0.4,,,,,0.441,,0.818,0.036,0.301,,0.301,0.301,0.706,,,0.169,0.013,,,,,9.1,1.4,3.3,0.0,0.0,1.4,3.3,1.1,1.6,0.0,0.0,3.0,0.2,0.0,0.0,0.0,0.9,4.0
44,Al Horford,2008,2017,C,646,642,21535,3923,7427,195,563,3728,6864,1199,1603,1472,4136,5608,1926,534,784,1031,1537,9240,19.1,4.0,3.1,7.1,0.7,2.2,3.0,2.7,0.57,0.064,0.231,0.157,0.531,0.337,0.544,0.542,0.746,0.08,0.215,0.148,0.15,0.013,0.03,0.116,0.197,33.3,6.1,11.5,0.3,0.9,5.8,10.6,1.9,2.5,2.3,6.4,8.7,3.0,0.8,1.2,1.6,2.4,14.3
45,Al Jackson,1968,1968,G,2,0,17,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,6,0,-9.2,-0.1,0.0,-0.1,,,,,0.0,,0.0,-0.199,0.0,,0.0,0.0,,,,,0.063,,,,,8.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0
46,Al Jefferson,2005,2017,C,879,650,25815,6050,12136,8,63,6042,12073,1983,2797,2024,5523,7547,1317,612,1070,1190,2281,14091,20.1,2.8,2.5,5.3,-0.5,0.4,-0.2,1.1,0.527,0.005,0.242,0.127,0.499,0.088,0.502,0.5,0.704,0.091,0.248,0.168,0.095,0.012,0.032,0.084,0.252,29.4,6.9,13.8,0.0,0.1,6.9,13.7,2.3,3.2,2.3,6.3,8.6,1.5,0.7,1.2,1.4,2.6,16.0
47,Al Masino,1953,1954,PG,126,0,2135,186,524,0,0,186,524,188,302,0,0,233,204,0,0,0,340,560,14.9,0.3,0.7,1.0,,,,,0.477,,0.714,0.199,0.411,,0.411,0.411,0.611,,,,,,,,,16.9,1.5,4.2,0.0,0.0,1.5,4.2,1.5,2.4,0.0,0.0,1.8,1.6,0.0,0.0,0.0,2.7,4.4
48,Al Miksis,1950,1950,C,8,0,0,5,21,0,0,5,21,17,21,0,0,0,4,0,0,0,22,27,,0.2,0.0,0.1,,,,,0.446,,1.0,,0.238,,0.238,0.238,0.81,,,,,,,,,0.0,0.6,2.6,0.0,0.0,0.6,2.6,2.1,2.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.8,3.4
49,Al Roges,1954,1955,G-F,84,0,2138,243,675,0,0,243,675,145,203,0,0,237,179,0,0,0,197,631,10.6,0.3,0.5,0.7,,,,,0.418,,0.343,0.018,0.367,,0.367,0.367,0.675,,,,,,,,,25.5,2.9,8.0,0.0,0.0,2.9,8.0,1.7,2.4,0.0,0.0,2.8,2.1,0.0,0.0,0.0,2.3,7.5
50,Al Skinner,1977,1980,SG,325,0,6654,1009,2293,0,0,1009,2293,753,926,300,683,983,761,313,99,468,992,2771,10.7,0.3,0.9,1.2,-2.8,-1.0,-3.7,0.2,0.516,0.0,0.393,0.044,0.441,,0.441,0.441,0.834,0.04,0.093,0.066,0.178,0.02,0.005,0.256,0.188,20.5,3.1,7.1,0.0,0.0,3.1,7.1,2.3,2.8,0.9,2.1,3.0,2.3,1.0,0.3,1.4,3.1,8.5
51,Al Thornton,2008,2011,PF,442,236,11736,1893,4136,93,323,1800,3813,976,1307,564,1176,1740,505,265,199,590,1120,4855,12.0,0.5,0.7,1.3,-2.4,-1.3,-3.8,-0.5,0.522,0.066,0.321,0.044,0.466,0.245,0.479,0.475,0.752,0.052,0.124,0.087,0.071,0.012,0.011,0.117,0.198,26.6,4.3,9.4,0.2,0.7,4.1,8.6,2.2,3.0,1.3,2.7,3.9,1.1,0.6,0.5,1.3,2.5,11.0
52,Al Tucker,1968,1971,PF,402,0,8052,1503,3292,0,0,1503,3292,667,956,0,0,1888,342,0,0,0,839,3673,13.0,0.9,0.6,1.4,,,,,0.515,,0.301,0.092,0.473,,0.473,0.473,0.735,,,0.117,0.053,,,,,20.0,3.7,8.2,0.0,0.0,3.7,8.2,1.7,2.4,0.0,0.0,4.7,0.9,0.0,0.0,0.0,2.1,9.1
53,Al Wood,1982,1987,SG,465,251,10869,2159,4635,43,214,2116,4421,995,1262,510,886,1396,800,341,168,640,1052,5356,13.2,1.1,0.9,2.0,-1.1,-1.6,-2.7,0.0,0.504,0.054,0.295,0.062,0.45,0.17,0.465,0.455,0.779,0.06,0.099,0.079,0.099,0.015,0.008,0.112,0.226,23.4,4.6,10.0,0.1,0.5,4.6,9.5,2.1,2.7,1.1,1.9,3.0,1.7,0.7,0.4,1.4,2.3,11.5
54,Al-Farouq Aminu,2011,2017,SF,520,281,12520,1398,3281,305,942,1093,2339,665,917,727,2221,2948,639,494,307,667,967,3766,12.2,0.5,2.0,2.5,-1.8,1.4,-0.4,0.7,0.508,0.272,0.287,0.066,0.425,0.291,0.464,0.468,0.726,0.068,0.2,0.134,0.075,0.021,0.021,0.154,0.157,24.1,2.7,6.3,0.6,1.8,2.1,4.5,1.3,1.8,1.4,4.3,5.7,1.2,0.9,0.6,1.3,1.9,7.2
55,Alaa Abdelnaby,1991,1995,PF,385,105,5017,983,1940,0,6,983,1934,333,472,446,851,1297,125,111,107,389,777,2299,9.8,0.1,0.7,0.8,-5.7,-2.1,-7.9,-0.4,0.476,0.004,0.244,-0.004,0.449,0.0,0.451,0.449,0.671,0.098,0.197,0.148,0.042,0.01,0.014,0.175,0.224,13.0,2.6,5.0,0.0,0.0,2.6,5.0,0.9,1.2,1.2,2.2,3.4,0.3,0.3,0.3,1.0,2.0,6.0
56,Alan Anderson,2006,2017,SF,330,66,6793,843,2084,331,963,512,1121,404,495,151,563,714,371,182,31,290,602,2421,9.5,0.5,0.5,0.9,-1.2,-1.8,-2.9,-0.0,0.52,0.453,0.239,0.046,0.402,0.34,0.45,0.479,0.802,0.026,0.099,0.062,0.092,0.012,0.003,0.112,0.175,20.6,2.6,6.3,1.0,2.9,1.6,3.4,1.2,1.5,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3
57,Alan Hardy,1981,1982,SG,60,0,421,84,195,0,5,84,190,25,39,22,31,53,23,10,13,31,45,193,9.0,-0.2,0.2,0.0,-5.6,-2.8,-8.4,-0.3,0.44,0.018,0.191,-0.022,0.414,0.0,0.423,0.414,0.66,0.066,0.087,0.076,0.064,0.009,0.025,0.134,0.241,7.0,1.4,3.2,0.0,0.1,1.4,3.2,0.4,0.7,0.4,0.5,0.9,0.4,0.2,0.2,0.5,0.8,3.2
58,Alan Henderson,1996,2007,PF,652,220,13780,1976,4215,5,26,1971,4189,1137,1778,1426,1823,3249,397,364,297,717,1436,5094,14.6,1.2,1.1,2.3,-1.3,-0.6,-1.8,0.1,0.527,0.004,0.436,0.107,0.491,0.2,0.492,0.491,0.632,0.126,0.159,0.142,0.049,0.014,0.017,0.13,0.176,21.1,3.0,6.5,0.0,0.0,3.0,6.4,1.7,2.7,2.2,2.8,5.0,0.6,0.6,0.5,1.1,2.2,7.8
