,Player,enterYear,retireYear,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,TS%,3PAr,FTr,WS/48,FG%,3P%,2P%,eFG%,FT%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,MP_PG,FG_PG,FGA_PG,3P_PG,3PA_PG,2P_PG,2PA_PG,FT_PG,FTA_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
3349,Scott Machado,2013,2013,PG,6,0,21,3,6,0,1,3,5,2,2,0,1,1,6,2,0,8,0,8,6.0,-0.1,0.0,-0.1,-12.2,-2.9,-15.1,-0.1,0.581,0.167,0.333,-0.23,0.5,0.0,0.6,0.5,1.0,0.0,0.053,0.027,0.442,0.048,0.0,0.538,0.31,3.5,0.5,1.0,0.0,0.2,0.5,0.8,0.3,0.3,0.0,0.2,0.2,1.0,0.3,0.0,1.3,0.0,1.3
3350,Scott May,1977,1983,SF,355,8,8029,1432,3100,0,8,1432,3092,826,1018,508,942,1450,610,285,44,429,790,3690,13.4,1.3,1.1,2.5,-1.1,-0.8,-1.8,0.3,0.519,0.004,0.357,0.087,0.458,0.0,0.459,0.458,0.802,0.069,0.125,0.097,0.117,0.018,0.003,0.164,0.207,22.6,4.0,8.7,0.0,0.0,4.0,8.7,2.3,2.9,1.4,2.7,4.1,1.7,0.8,0.1,1.2,2.2,10.4
3351,Scott Meents,1990,1991,PF,39,0,201,26,72,1,1,25,71,19,27,10,30,40,15,11,7,15,17,72,10.6,-0.1,0.1,0.0,-5.6,2.2,-3.3,-0.0,0.397,0.018,0.333,-0.026,0.341,1.0,0.327,0.35,0.619,0.06,0.175,0.116,0.133,0.04,0.031,0.155,0.231,5.2,0.7,1.8,0.0,0.0,0.6,1.8,0.5,0.7,0.3,0.8,1.0,0.4,0.3,0.2,0.4,0.4,1.8
3352,Scott Padgett,2000,2007,PF,479,18,5844,695,1714,248,677,447,1037,282,388,418,863,1281,333,187,89,262,716,1920,10.5,0.5,0.8,1.3,-1.8,-0.4,-2.3,0.2,0.45,0.441,0.244,0.075,0.356,0.332,0.392,0.423,0.622,0.102,0.177,0.14,0.075,0.017,0.012,0.123,0.166,12.2,1.5,3.6,0.5,1.4,0.9,2.2,0.6,0.8,0.9,1.8,2.7,0.7,0.4,0.2,0.5,1.5,4.0
3353,Scott Roth,1988,1990,SF,223,9,2334,307,828,26,95,281,733,292,405,81,187,268,241,111,16,176,319,932,8.5,-0.2,0.4,0.2,-4.1,-0.5,-4.6,-0.3,0.45,0.138,0.479,0.02,0.359,0.217,0.381,0.373,0.716,0.032,0.1,0.066,0.138,0.025,0.005,0.154,0.202,10.5,1.4,3.7,0.1,0.4,1.3,3.3,1.3,1.8,0.4,0.8,1.2,1.1,0.5,0.1,0.8,1.4,4.2
3354,Scott Sims,1978,1978,PG,12,0,95,10,26,0,0,10,26,10,15,5,8,13,20,3,0,19,16,30,5.2,-0.2,0.1,-0.2,-5.8,-2.2,-8.0,-0.1,0.46,,0.577,-0.088,0.385,,0.385,0.385,0.667,0.058,0.085,0.072,0.247,0.014,0.0,0.368,0.21,7.9,0.8,2.2,0.0,0.0,0.8,2.2,0.8,1.2,0.4,0.7,1.1,1.7,0.2,0.0,1.6,1.3,2.5
3355,Scott Skiles,1987,1996,PG,600,371,16789,2290,5259,524,1381,1766,3878,1548,1741,275,1251,1526,3881,500,29,1497,1343,6652,12.7,2.2,0.8,3.1,-0.4,-2.3,-2.7,0.3,0.524,0.279,0.295,0.059,0.412,0.356,0.416,0.465,0.87,0.018,0.085,0.051,0.318,0.014,0.001,0.208,0.18,28.0,3.8,8.8,0.9,2.3,2.9,6.5,2.6,2.9,0.5,2.1,2.5,6.5,0.8,0.0,2.5,2.2,11.1
3356,Scott Wedman,1975,1987,SF,981,140,27720,5527,11501,94,283,5433,11218,1611,2030,1600,3037,4637,1888,889,318,1009,2777,12759,13.0,2.1,1.7,3.7,-0.6,-0.4,-1.0,0.9,0.498,0.051,0.159,0.082,0.466,0.319,0.47,0.472,0.76,0.06,0.114,0.087,0.098,0.015,0.007,0.103,0.201,28.3,5.6,11.7,0.1,0.3,5.5,11.4,1.6,2.1,1.6,3.1,4.7,1.9,0.9,0.3,1.0,2.8,13.0
3357,Scott Williams,1991,2005,C,796,287,12793,1684,3605,7,48,1677,3557,662,924,1322,2330,3652,449,416,439,565,2020,4037,11.9,0.6,0.8,1.5,-3.8,-0.0,-3.8,0.0,0.459,0.015,0.264,0.073,0.422,0.174,0.427,0.424,0.701,0.107,0.21,0.158,0.053,0.02,0.027,0.142,0.172,16.1,2.1,4.5,0.0,0.1,2.1,4.5,0.8,1.2,1.7,2.9,4.6,0.6,0.5,0.6,0.7,2.5,5.1
3358,Scottie Pippen,1988,2004,SF,1178,1053,41069,7420,15700,978,3002,6442,12698,3122,4437,2068,5426,7494,6135,2307,947,3257,3329,18940,17.9,3.4,4.0,7.4,2.0,2.2,4.1,4.1,0.528,0.209,0.277,0.136,0.462,0.297,0.498,0.495,0.705,0.057,0.149,0.104,0.229,0.029,0.015,0.161,0.221,34.9,6.3,13.3,0.8,2.5,5.5,10.8,2.7,3.8,1.8,4.6,6.4,5.2,2.0,0.8,2.8,2.8,16.1
